customer_id,cust_age,job_title,marital_status,education,has_default_loan,cust_balance,has_mortgage_loan,has_personal_loan,contact_channel,contact_day,contact_month,contact_duration,campaign,pdays,previous_contacts,previous_outcome,is_subscribed
11218,48.0,blue-collar,single,,no,71.0,yes,no,,8,may,101,2,-1,0,,False
30655,60.0,pensioner,married,secondary,no,781.0,yes,yes,social-network,12,aug,128,5,-1,0,,False
24190,34.0,blue-collar,married,secondary,no,157.0,yes,no,social-network,11,jul,254,2,-1,0,,False
26270,50.0,manager,married,university-degree,no,29.0,no,yes,,23,jul,104,1,-1,0,,False
20989,60.0,manager,married,university-degree,no,3301.0,no,no,,17,jun,2621,3,-1,0,,True
19570,49.0,entrepreneur,divorced,secondary,no,2908.0,no,no,,6,jun,322,1,-1,0,,False
28247,30.0,site-admin,single,secondary,no,394.0,yes,yes,social-network,31,jul,75,3,-1,0,,False
19101,48.0,blue-collar,single,primary,no,316.0,no,no,,5,jun,560,2,-1,0,,False
15284,32.0,mechanic,single,secondary,no,2459.0,yes,yes,,23,may,162,1,-1,0,,False
16345,53.0,blue-collar,married,primary,no,1715.0,yes,yes,,27,may,27,1,-1,0,,False
34052,45.0,site-admin,divorced,secondary,no,1293.0,yes,yes,telephone,20,oct,164,1,-1,0,,False
42890,28.0,manager,married,university-degree,no,258.0,no,yes,social-network,17,apr,93,1,-1,0,,False
33622,31.0,manager,single,university-degree,no,35.0,no,no,social-network,28,aug,27,16,-1,0,,False
21171,37.0,manager,married,university-degree,no,11265.0,no,no,,18,jun,417,1,-1,0,,False
16297,,self-employed,married,primary,no,6.0,yes,no,,27,may,233,2,-1,0,,False
42720,34.0,site-admin,married,secondary,no,1467.0,yes,no,social-network,17,apr,113,1,332,2,failure,False
27829,54.0,engineer,married,primary,no,3067.0,yes,no,telephone,29,jul,222,3,-1,0,,False
30848,52.0,unemployed,married,secondary,no,9139.0,no,no,social-network,13,aug,684,2,-1,0,,False
24899,48.0,engineer,married,secondary,no,268.0,no,no,social-network,16,jul,128,1,-1,0,,False
38523,30.0,mechanic,single,secondary,no,334.0,no,no,social-network,29,jan,389,2,-1,0,,False
39271,29.0,blue-collar,married,secondary,no,321.0,yes,yes,social-network,2,feb,102,2,-1,0,,False
20986,39.0,blue-collar,married,primary,no,2303.0,yes,no,,17,jun,775,3,-1,0,,True
12549,51.0,site-admin,divorced,secondary,no,2195.0,yes,no,,13,may,59,1,-1,0,,False
25206,29.0,engineer,married,university-degree,no,1337.0,yes,no,social-net,17,jul,125,2,-1,0,,False
30257,46.0,manager,single,university-degree,no,379.0,no,no,social-network,11,aug,83,6,-1,0,,False
30929,32.0,site-admin,single,university-degree,no,497.0,yes,no,social-network,13,aug,132,4,-1,0,,False
25236,40.0,manager,married,university-degree,no,-117.0,yes,no,social-network,17,jul,770,2,-1,0,,False
18138,29.0,site-admin,single,secondary,no,315.0,yes,no,,2,jun,121,4,-1,0,,False
33815,30.0,engineer,married,secondary,no,32.0,no,no,social-network,29,aug,73,2,-1,0,,False
10788,29.0,student,single,university-degree,no,185.0,yes,no,,7,may,141,3,-1,0,,False
18094,30.0,engineer,single,secondary,no,518.0,yes,no,,2,jun,21,1,-1,0,,False
33907,32.0,manager,married,university-degree,no,500.0,no,yes,social-network,29,aug,107,2,-1,0,,False
43340,36.0,blue-collar,married,primary,no,1925.0,yes,no,social-network,20,apr,904,2,-1,0,,True
11344,50.0,engineer,married,secondary,no,389.0,yes,no,,8,may,110,1,-1,0,,False
27968,43.0,blue-collar,single,secondary,no,99.0,no,no,social-network,30,jul,226,2,-1,0,,False
47287,34.0,blue-collar,married,secondary,no,7063.0,yes,no,social-network,13,may,309,1,350,9,failure,False
12414,28.0,blue-collar,married,secondary,no,-185.0,yes,yes,,13,may,170,1,-1,0,,False
16743,25.0,blue-collar,single,secondary,no,207.0,yes,no,,28,may,680,1,-1,0,,False
48787,37.0,blue-collar,divorced,secondary,no,333.0,yes,no,telephone,18,may,73,6,-1,0,,False
25111,27.0,blue-collar,married,secondary,no,1.0,yes,no,social-network,17,jul,259,1,-1,0,,False
31228,37.0,manager,married,university-degree,no,984.0,yes,no,social-network,18,aug,180,4,-1,0,,False
19333,32.0,blue-collar,married,primary,no,1138.0,yes,yes,,6,jun,164,4,-1,0,,False
37710,36.0,blue-collar,married,primary,no,156.0,yes,no,social-network,21,nov,219,2,-1,0,,False
13921,27.0,mechanic,single,secondary,no,194.0,yes,no,,16,may,326,1,-1,0,,False
39098,53.0,engineer,married,secondary,no,7984.0,yes,no,social-network,2,feb,151,1,-1,0,,False
50854,32.0,manager,single,university-degree,no,3283.0,no,no,social-network,12,aug,623,2,191,2,success,True
34519,38.0,site-admin,married,,no,4583.0,yes,no,social-network,17,nov,191,2,-1,0,,False
52010,34.0,site-admin,single,university-degree,no,18.0,yes,yes,social-network,27,oct,114,1,180,1,success,False
52465,35.0,engineer,married,secondary,no,13658.0,yes,no,telephone,9,dec,220,2,-1,0,,False
53303,42.0,manager,married,university-degree,no,1205.0,no,no,telephone,15,mar,129,1,188,2,success,False
50426,29.0,engineer,single,university-degree,no,1891.0,no,no,social-network,2,jul,129,1,-1,0,,False
27871,51.0,engineer,divorced,,no,3560.0,yes,no,social-network,30,jul,334,6,-1,0,,False
32905,49.0,manager,married,secondary,no,338.0,no,no,social-network,25,aug,941,3,-1,0,,False
41499,38.0,manager,single,,no,715.0,yes,no,social-network,2,apr,951,1,132,3,failure,False
45593,45.0,blue-collar,divorced,secondary,no,-184.0,yes,no,social-network,7,may,878,3,170,5,failure,True
21342,57.0/r,blue-collar,married,,no,4148.0,no,no,,18,jun,340,3,-1,0,,False
52368,64.0,pensioner,divorced,primary,no,1840.0,no,no,social-network,25,nov,237,1,85,4,other,False
35622,32.0,manager,single,university-degree,no,4262.0,yes,no,social-network,19,nov,361,1,-1,0,,False
25122,32.0,engineer,married,secondary,no,348.0,yes,no,social-network,17,jul,926,1,-1,0,,True
42834,27.0,blue-collar,single,secondary,no,-116.0,yes,yes,social-network,17,apr,432,2,343,1,failure,False
19124,42.0,blue-collar,married,secondary,no,865.0,no,yes,,5,jun,81,1,-1,0,,False
16665,31.0,mechanic,single,secondary,no,605.0,yes,no,,28,may,222,1,-1,0,,False
42244,38.0,site-admin,married,secondary,no,1933.0,yes,no,social-network,16,apr,622,1,-1,0,,False
29186,34.0,engineer,married,university-degree,no,218.0,no,no,social-network,5,aug,109,2,-1,0,,False
11775,56.0,site_administrator,married,primary,no,202.0,yes,no,,9,may,178,2,-1,0,,False
10148,43.0,mechanic,married,primary,no,3.0,yes,no,,5,may,186,2,-1,0,,False
37882,37.0,servant,married,secondary,no,723.0,no,no,telephone,28,jan,39,1,-1,0,,False
10636,52.0,blue-collar,divorced,primary,yes,-183.0,yes,no,,6,may,145,1,-1,0,,False
13297,45.0,entrepreneur,married,primary,no,1953.0,yes,no,,15,may,95,3,-1,0,,False
48907,32.0,blue-collar,single,secondary,no,218.0,yes,no,social-network,18,may,134,1,-1,0,,False
38585,30.0,mechanic,single,secondary,no,3405.0,no,no,social-network,29,jan,276,2,-1,0,,False
35432,31.0,self-employed,single,secondary,no,202.0,yes,no,social-network,18,nov,216,1,-1,0,,False
54143,72.0,site-admin,married,primary,no,2321.0,no,no,social-network,12,jul,200,6,122,6,other,False
31369,32.0,engineer,divorced,secondary,no,2870.0,no,no,social-network,18,aug,91,4,-1,0,,False
45138,48.0,engineer,married,secondary,no,505.0,yes,no,social-network,7,may,113,2,-1,0,,False
12700,37.0,site_admin,married,secondary,no,1026.0,yes,no,,13,may,389,2,-1,0,,False
